order_id,date,customer,region,category,product,quantity,unit_price,total,status
ORD0001,2025-06-15,李娜先生,,家居用品,抱枕,4,294.7,1178.8,已完成
ORD0002,,陈静女士,华东,办公文具,订书机,19,2887.63,54864.97,待发货
ORD0003,2025-10-04,郭文,华东,食品饮料,矿泉水,19,1865.13,35437.47,待发货
ORD0004,2025-06-10,李娜先生,华中,家居用品,毛巾,8,1504.74,12037.92,已完成
ORD0005,2025-03-26,朱红,华北,服装鞋帽,连衣裙,,3824.03,,已完成
ORD0006,,胡涛,东北,电子产品,键盘,3,3508.95,10526.85,已完成
ORD0007,2025-08-25,胡涛,华东,办公文具,笔记本,10,1241.84,12418.4,已完成
ORD0008,2025-03-12,高洁先生,华南,办公文具,计算器,13,758.85,9865.05,已完成
ORD0009,2025-01-03,徐明女士,东北,办公文具,便签,17,3276.56,55701.52,配送中
ORD0010,2025-07-21,刘洋女士,西南,运动户外,帐篷,7,554.09,3878.63,已完成
ORD0011,2025-02-06,吴鑫先生,华中,办公文具,胶带,20,618.6,12372.0,已完成
ORD0012,2025-06-25,吴鑫,华东,家居用品,收纳盒,7,2643.65,18505.55,配送中
ORD0013,2025-05-14,黄强女士,东北,服装鞋帽,羽绒服,17,1119.09,19024.53,已完成
ORD0014,2025-04-27,朱红女士,东北,家居用品,台灯,9,972.26,8750.34,待支付
ORD0015,2025-02-22,刘洋女士,华东,服装鞋帽,衬衫,20,2399.97,47999.4,配送中
ORD0016,2025-04-13,高洁女士,华南,服装鞋帽,围巾,13,3718.05,48334.65,已完成
ORD0017,2025-03-16,陈静女士,西南,办公文具,便签,18,76.14,1370.52,配送中
ORD0018,2025-04-10,朱红女士,华南,服装鞋帽,,17,2934.25,49882.25,已完成
ORD0019,2025-09-22,郭文,华南,办公文具,文件夹,1,3883.65,3883.65,已完成
ORD0020,,,,运动户外,护膝,4,288.83,1155.32,已完成
ORD0021,2025-02-02,周丽,西南,办公文具,订书机,15,4037.77,60566.55,配送中
ORD0022,2025-04-14,陈静,华东,服装鞋帽,连衣裙,3,2144.55,6433.65,待支付
ORD0023,2025-07-07,孙艳女士,华南,服装鞋帽,羽绒服,4,2438.87,9755.48,已取消
ORD0024,2025-04-11,刘洋先生,西南,电子产品,手机,15,95.32,1429.8,待支付
ORD0025,2025-02-23,徐明,华北,食品饮料,,9,4099.79,36898.11,已完成
ORD0026,2025-06-17,李娜女士,西南,电子产品,耳机,3,89.07,267.21,配送中
ORD0027,,吴鑫,华东,办公文具,胶带,2,1195.99,2391.98,已完成
ORD0028,2025-04-16,黄强女士,华南,办公文具,胶带,1,189.56,nan,待发货
ORD0029,2025-08-10,陈静女士,西北,办公文具,计算器,10,4912.29,49122.9,已取消
ORD0030,2025-01-28,吴鑫先生,华北,电子产品,数据线,2,4207.14,8414.28,待发货
ORD0031,2025-03-22,胡涛先生,华南,电子产品,U盘,18,177.06,3187.08,已完成
ORD0032,2025-09-15,高洁,西北,服装鞋帽,T恤,3,2936.07,8808.21,已完成
ORD0033,2025-03-21,孙艳,,运动户外,手套,16,3622.16,57954.56,配送中
ORD0034,2025-09-16,陈静,华东,办公文具,笔记本,19,3557.37,67590.03,已完成
ORD0035,2025-02-23,李娜,西南,家居用品,台灯,8,21.56,172.48,待支付
ORD0036,2025-08-31,吴鑫先生,华东,电子产品,充电器,7,3251.41,22759.87,已完成
ORD0037,2025-11-26,赵敏,西北,办公文具,胶带,10,671.54,6715.4,已完成
ORD0038,2025-09-22,孙艳女士,,家居用品,抱枕,18,4890.74,88033.32,已完成
ORD0039,2025-07-18,朱红先生,华北,服装鞋帽,牛仔裤,17,1800.97,30616.49,待支付
ORD0040,2025-09-06,张伟女士,华东,服装鞋帽,,15,3637.28,54559.2,配送中
ORD0041,2025-07-23,王芳女士,华中,服装鞋帽,帽子,3,4993.97,14981.91,配送中
ORD0042,2025-05-27,胡涛,东北,服装鞋帽,帽子,11,1869.88,20568.68,配送中
ORD0043,,吴鑫女士,华中,运动户外,篮球,10,4559.97,45599.7,已完成
