order_id,date,customer,region,category,product,quantity,unit_price,total,status
ORD0001,2025-11-24,徐明先生,华南,电子产品,手机,9,1228.23,11054.07,已取消
ORD0002,2025-10-30,张伟,华南,家居用品,台灯,1,473.01,473.01,已完成
ORD0003,2025-04-12,张伟先生,华北,运动户外,手套,8,2248.8,17990.4,配送中
ORD0004,2025-08-05,李娜女士,东北,食品饮料,咖啡,5,1080.49,5402.45,已完成
ORD0005,2025-02-19,徐明先生,华东,食品饮料,坚果,20,1326.28,26525.6,已取消
ORD0006,2025-07-13,李娜先生,华北,电子产品,数据线,20,4427.83,88556.6,待发货
ORD0007,2025-04-27,朱红先生,华中,食品饮料,饼干,8,4333.09,34664.72,已完成
ORD0008,2025-07-09,梁平,西北,食品饮料,茶叶,9,3510.59,31595.31,待发货
ORD0009,2025-03-29,徐明先生,华北,办公文具,订书机,6,2313.99,13883.94,待支付
ORD0010,2025-06-16,赵敏,华中,电子产品,充电器,2,4026.2,8052.4,已完成
ORD0011,2025-06-11,周丽先生,西北,服装鞋帽,衬衫,13,4423.99,57511.87,已完成
ORD0012,2025-05-07,黄强先生,西南,运动户外,背包,19,2145.03,40755.57,已完成
ORD0013,2025-09-18,林雪,华南,家居用品,抱枕,2,4306.21,8612.42,待发货
ORD0014,2025-02-02,徐明先生,西南,家居用品,桌布,20,4980.63,99612.6,已完成
ORD0015,2025-02-28,张伟,华中,运动户外,背包,11,562.2,6184.2,已完成
ORD0016,2025-05-15,孙艳,东北,办公文具,文件夹,17,4563.58,77580.86,待发货
ORD0017,2025-04-12,张伟,东北,服装鞋帽,围巾,6,2699.2,16195.2,待支付
ORD0018,2025-06-15,黄强先生,东北,家居用品,台灯,4,4645.85,18583.4,配送中
ORD0019,2025-05-04,徐明先生,东北,办公文具,签字笔,3,3660.88,10982.64,已完成
ORD0020,2025-03-07,林雪先生,西南,运动户外,护膝,18,829.81,14936.58,配送中
ORD0021,2025-10-04,何勇,西北,运动户外,帐篷,10,1997.97,19979.7,待发货
ORD0022,2025-08-20,黄强,华东,电子产品,充电器,8,324.81,2598.48,待发货
ORD0023,2025-04-23,李娜,华东,电子产品,平板,2,1148.56,2297.12,配送中
ORD0024,2025-05-02,高洁,西北,食品饮料,巧克力,7,2698.47,18889.29,待支付
ORD0025,2025-08-31,朱红女士,华东,服装鞋帽,衬衫,14,956.1,13385.4,待发货
ORD0026,2025-07-30,刘洋先生,西北,家居用品,台灯,4,307.76,1231.04,已完成
ORD0027,2025-04-09,李娜女士,华北,服装鞋帽,衬衫,5,2112.3,10561.5,已完成
ORD0028,2025-10-09,黄强先生,华东,电子产品,手机,18,4180.96,75257.28,待支付
ORD0029,2025-07-28,张伟女士,华东,家居用品,衣架,7,4323.93,30267.51,已完成
ORD0030,2025-05-16,徐明,西北,家居用品,拖鞋,14,3484.47,48782.58,待支付
ORD0031,2025-09-07,徐明先生,华东,服装鞋帽,羽绒服,10,1092.42,10924.2,待发货
ORD0032,2025-06-10,王芳,东北,电子产品,手机,19,2386.56,45344.64,已完成
ORD0033,2025-02-11,刘洋,东北,服装鞋帽,牛仔裤,20,344.46,6889.2,已完成
ORD0034,2025-05-07,孙艳女士,西北,办公文具,笔记本,20,414.51,8290.2,待发货
ORD0035,2025-05-14,吴鑫女士,华南,服装鞋帽,围巾,8,1331.74,10653.92,待发货
ORD0036,2025-06-11,李娜,西南,电子产品,手机,15,3107.69,46615.35,待支付
ORD0037,2025-04-20,朱红女士,华东,办公文具,胶带,5,4666.63,23333.15,配送中
ORD0038,2025-03-22,张伟,东北,家居用品,拖鞋,20,4919.35,98387.0,待发货
ORD0039,2025-10-11,陈静女士,华东,食品饮料,饼干,5,1326.01,6630.05,已取消
ORD0040,2025-05-25,孙艳女士,西北,办公文具,订书机,11,1021.97,11241.67,配送中
ORD0041,2025-05-09,陈静,华东,电子产品,平板,14,4147.59,58066.26,已完成
ORD0042,2025-05-15,李娜,西南,服装鞋帽,衬衫,18,3529.81,63536.58,已完成
ORD0043,2025-03-18,王芳女士,华南,办公文具,笔记本,12,2914.64,34975.68,已完成
ORD0044,2025-07-06,徐明女士,西北,电子产品,U盘,7,3411.92,23883.44,已完成
ORD0045,2025-11-14,林雪先生,东北,运动户外,篮球,8,4323.71,34589.68,配送中
ORD0046,2025-04-02,黄强女士,东北,运动户外,水壶,14,4012.16,56170.24,已取消
ORD0047,2025-03-23,赵敏女士,东北,运动户外,跳绳,13,4361.47,56699.11,已完成
ORD0048,2025-06-29,周丽先生,华南,食品饮料,茶叶,8,123.2,985.6,已完成
ORD0049,2025-05-23,周丽先生,华东,食品饮料,方便面,18,1659.09,29863.62,已完成
ORD0050,2025-10-25,马超女士,华北,食品饮料,牛奶,4,2984.87,11939.48,已取消
ORD0051,2025-11-07,林雪先生,华南,办公文具,签字笔,13,4498.03,58474.39,已完成
ORD0052,2025-09-24,梁平女士,西北,办公文具,订书机,12,2159.33,25911.96,待支付
ORD0053,2025-03-05,吴鑫,华中,运动户外,背包,17,1549.88,26347.96,已完成
ORD0054,2025-03-07,吴鑫女士,华南,服装鞋帽,连衣裙,13,3388.2,44046.6,待发货
ORD0055,2025-10-08,马超女士,东北,电子产品,数据线,10,1054.86,10548.6,待发货
ORD0056,2025-08-15,李娜女士,东北,家居用品,毛巾,17,2368.56,40265.52,已取消
ORD0057,2025-09-21,吴鑫先生,东北,运动户外,水壶,3,4093.03,12279.09,已完成
ORD0058,2025-04-12,李娜女士,华中,服装鞋帽,T恤,2,1227.99,2455.98,待发货
ORD0059,2025-08-01,张伟先生,华南,运动户外,帐篷,13,2474.41,32167.33,已完成
ORD0060,2025-08-06,刘洋女士,西南,服装鞋帽,运动鞋,17,2325.43,39532.31,已完成
ORD0061,2025-03-10,林雪,西北,家居用品,水杯,15,3065.2,45978.0,配送中
